seed,group,matrix,perturb_type,scale_rel,perturb_seed_idx,t50,t90,auc,unrecovered,baseline_acc
144,grokked,embed.weight,structured_rank1,0.05,1,0.0,0.0,0.93,0.0,0.924
144,grokked,embed.weight,structured_rank1,0.05,2,0.0,0.0,0.927,0.0,0.924
144,pregrok,embed.weight,gaussian_random,0.005,0,100.0,2000.0,0.502,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.005,1,1200.0,2000.0,0.502,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.005,2,2000.0,2000.0,0.495,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.01,0,600.0,2000.0,0.499,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.01,1,400.0,2000.0,0.503,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.01,2,1500.0,2000.0,0.498,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.02,0,2000.0,2000.0,0.495,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.02,1,300.0,2000.0,0.504,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.02,2,1400.0,2000.0,0.498,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.05,0,2000.0,2000.0,0.495,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.05,1,200.0,2000.0,0.506,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.05,2,700.0,2000.0,0.5,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.005,0,1400.0,2000.0,0.498,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.005,1,2000.0,2000.0,0.489,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.005,2,200.0,2000.0,0.505,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.01,0,900.0,2000.0,0.493,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.01,1,2000.0,2000.0,0.495,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.01,2,200.0,2000.0,0.507,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.02,0,900.0,2000.0,0.497,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.02,1,1900.0,2000.0,0.495,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.02,2,2000.0,2000.0,0.495,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.05,0,400.0,2000.0,0.506,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.05,1,1000.0,2000.0,0.503,1.0,0.4915
144,pregrok,embed.weight,structured_rank1,0.05,2,1900.0,2000.0,0.494,1.0,0.4915
145,grokked,embed.weight,gaussian_random,0.005,0,0.0,0.0,0.931,0.0,0.9355
145,grokked,embed.weight,gaussian_random,0.005,1,0.0,0.0,0.936,0.0,0.9355
145,grokked,embed.weight,gaussian_random,0.005,2,0.0,0.0,0.936,0.0,0.9355
145,grokked,embed.weight,gaussian_random,0.01,0,0.0,0.0,0.926,0.0,0.9355
145,grokked,embed.weight,gaussian_random,0.01,1,0.0,0.0,0.936,0.0,0.9355
145,grokked,embed.weight,gaussian_random,0.01,2,0.0,0.0,0.934,0.0,0.9355
145,grokked,embed.weight,gaussian_random,0.02,0,0.0,0.0,0.917,0.0,0.9355
145,grokked,embed.weight,gaussian_random,0.02,1,0.0,0.0,0.935,0.0,0.9355
145,grokked,embed.weight,gaussian_random,0.02,2,0.0,0.0,0.926,0.0,0.9355
145,grokked,embed.weight,gaussian_random,0.05,0,0.0,0.0,0.937,0.0,0.9355
145,grokked,embed.weight,gaussian_random,0.05,1,0.0,0.0,0.936,0.0,0.9355
145,grokked,embed.weight,gaussian_random,0.05,2,0.0,0.0,0.925,0.0,0.9355
145,grokked,embed.weight,structured_rank1,0.005,0,0.0,0.0,0.936,0.0,0.9355
145,grokked,embed.weight,structured_rank1,0.005,1,0.0,0.0,0.921,0.0,0.9355
145,grokked,embed.weight,structured_rank1,0.005,2,0.0,0.0,0.937,0.0,0.9355
145,grokked,embed.weight,structured_rank1,0.01,0,0.0,0.0,0.933,0.0,0.9355
145,grokked,embed.weight,structured_rank1,0.01,1,0.0,0.0,0.936,0.0,0.9355
145,grokked,embed.weight,structured_rank1,0.01,2,0.0,0.0,0.936,0.0,0.9355
145,grokked,embed.weight,structured_rank1,0.02,0,0.0,0.0,0.927,0.0,0.9355
145,grokked,embed.weight,structured_rank1,0.02,1,0.0,0.0,0.935,0.0,0.9355
145,grokked,embed.weight,structured_rank1,0.02,2,0.0,0.0,0.932,0.0,0.9355
145,grokked,embed.weight,structured_rank1,0.05,0,0.0,0.0,0.936,0.0,0.9355
145,grokked,embed.weight,structured_rank1,0.05,1,0.0,0.0,0.937,0.0,0.9355
145,grokked,embed.weight,structured_rank1,0.05,2,0.0,0.0,0.928,0.0,0.9355
145,pregrok,embed.weight,gaussian_random,0.005,0,800.0,2000.0,0.501,1.0,0.4885
145,pregrok,embed.weight,gaussian_random,0.005,1,1500.0,2000.0,0.496,1.0,0.4885
145,pregrok,embed.weight,gaussian_random,0.005,2,2000.0,2000.0,0.493,1.0,0.4885
145,pregrok,embed.weight,gaussian_random,0.01,0,2000.0,2000.0,0.49,1.0,0.4885
145,pregrok,embed.weight,gaussian_random,0.01,1,1200.0,2000.0,0.497,1.0,0.4885
145,pregrok,embed.weight,gaussian_random,0.01,2,1800.0,2000.0,0.494,1.0,0.4885
145,pregrok,embed.weight,gaussian_random,0.02,0,2000.0,2000.0,0.493,1.0,0.4885
145,pregrok,embed.weight,gaussian_random,0.02,1,1800.0,2000.0,0.495,1.0,0.4885
145,pregrok,embed.weight,gaussian_random,0.02,2,1700.0,2000.0,0.489,1.0,0.4885
145,pregrok,embed.weight,gaussian_random,0.05,0,2000.0,2000.0,0.494,1.0,0.4885
145,pregrok,embed.weight,gaussian_random,0.05,1,500.0,2000.0,0.489,1.0,0.4885
145,pregrok,embed.weight,gaussian_random,0.05,2,1500.0,2000.0,0.496,1.0,0.4885
145,pregrok,embed.weight,structured_rank1,0.005,0,2000.0,2000.0,0.493,1.0,0.4885
145,pregrok,embed.weight,structured_rank1,0.005,1,400.0,2000.0,0.498,1.0,0.4885
145,pregrok,embed.weight,structured_rank1,0.005,2,1800.0,2000.0,0.494,1.0,0.4885
145,pregrok,embed.weight,structured_rank1,0.01,0,2000.0,2000.0,0.493,1.0,0.4885
145,pregrok,embed.weight,structured_rank1,0.01,1,800.0,2000.0,0.5,1.0,0.4885
